test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
voffset,6665.14,7769.16,,,553.0919939,2790.634344,3840.277506,5151.393685,447.9414483,4963.131472,37.7,8739.89,,12.05068971,14.04677718,2.388396034,2.784012179,1.735588116,1.508166619,14.87948933,1.565374612,176.7941645,0.8889310964,,,,
vrecip,6679.73,7649.69,,,3848.660241,2114.098062,4712.654972,5856.629884,3.422800731,4790.676835,155.72,8126.52,,1.735598775,1.987624139,3.159612186,3.618417772,1.417402725,1.306159029,1951.539258,1.596786897,42.89577447,0.9413242077,,,,
vscal,6269.25,7324.45,,,583.0169691,2741.961496,3810.974292,5106.162732,339.4687437,4779.378974,37.94,8500.81,3370.44,10.75311755,12.56301341,2.286410662,2.671244659,1.645051769,1.434433328,18.46782691,1.532510822,165.2411703,0.8616178929,0.002972193541,0.002972786936,10.0176,10.0196
vsub,6553.02,9219.26,,,841.0303302,2693.24882,6028.295519,7366.76308,263.8570127,7093.833604,75.864,9579.919,190.06,7.791657167,10.96186388,2.433128329,3.423099987,1.08704359,1.251466879,24.83549682,1.299616049,86.37851946,0.9623526044,0.0003793538882,0.000430390403,0.0721,0.0818
wvec,7026.66,9706.13,,,1242.057173,2928.011032,7801.495671,9578.52577,512.5060326,7300.438517,76.12,9445,4431.95,5.657275809,7.814559755,2.399806532,3.31492262,0.9006811381,1.013321907,13.71039471,1.329526983,92.31029953,1.027647433,0.004096932501,0.004182447907,18.1574,18.5364
Average dsp per backend,,,,,,,,,,,,,,133.5429056,155.0817717,41.93464745,48.7111756,1.479641194,1.405361121,186.8390923,1.477991201,121.7562872,1.07445159,0.3902309015,0.5471664602,,
GMean dsp per backend,,,,,,,,,,,,,,12.11253683,15.25024982,3.902995205,4.914053329,1.338277573,1.332282614,33.26355934,1.470241146,109.0290482,1.053569256,0.02199243832,0.02754363854,,
dspstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
mat1x3,989.625,2865.95,,,1065.808216,2904.792677,9589.978294,10850.58161,572.5679974,5986.815282,688.26,8104.43,594.05,0.928520709,2.68899222,0.3406869646,0.9866280724,0.1031936642,0.2641286987,1.728397334,0.4787102766,1.437865051,0.3536275839,2.507314199,9.263681508,1489.47,5503.09
n_real_updates,5972.86,10135.2,,,1706.091837,3933.46905,10789.90463,12379.29173,446.1388731,9651.740506,114.375,10531.503,2514.63,3.50090181,5.940594627,1.518471335,2.576656857,0.5535600366,0.8187221224,13.38789413,1.050090395,52.22172678,0.9623697586,0.004613004697,0.007921443711,11.6,19.9195
Average dspstone per backend,,,,,,,,,,,,,,2.214711259,4.314793424,0.9295791498,1.781642465,0.3283768504,0.5414254105,7.558145731,0.7644003358,26.82979591,0.6579986713,1.255963602,4.635801476,,
GMean dspstone per backend,,,,,,,,,,,,,,1.802958633,3.996775292,0.7192519656,1.594428421,0.2390060429,0.46502474,4.810363865,0.7090056865,8.66532145,0.5833699449,0.1075465117,0.2708906267,,
makespeare,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum_of_squares,575.451,1491.59,,,1410.727873,3089.420938,7191.812127,8439.863291,508.907244,3124.284901,611.496,9150.064,165.49,0.407910704,1.057319436,0.1862650029,0.4828056875,0.08001474313,0.1767315356,1.130758123,0.4774180484,0.9410543977,0.1630141603,0.000006646927307,0.00002477491087,0.0011,0.0041
Average makespeare per backend,,,,,,,,,,,,,,0.407910704,1.057319436,0.1862650029,0.4828056875,0.08001474313,0.1767315356,1.130758123,0.4774180484,0.9410543977,0.1630141603,0.000006646927307,0.00002477491087,,
GMean makespeare per backend,,,,,,,,,,,,,,0.407910704,1.057319436,0.1862650029,0.4828056875,0.08001474313,0.1767315356,1.130758123,0.4774180484,0.9410543977,0.1630141603,0.000006646927307,0.00002477491087,,
mathfu,,,,,,,,,,,,,,,,,,,,,,,,,,,
diveq,7319.78,9906.2,,,4002.847474,2418.964984,7412.940169,9191.775673,306.2908585,6953.637333,292.705,9825.366,,1.828643246,2.474788276,3.025996675,4.09522257,0.9874327639,1.0777243,23.89813407,1.42460694,25.00736236,1.008227073,,,,
diveq_sca,6645.9,7730.82,,,621.2950859,2813.258705,5314.233138,6467.967319,381.6244793,4841.707869,155.72,8126.52,3422.95,10.69684945,12.44307283,2.362349395,2.747994696,1.250584953,1.195247227,17.41476336,1.596713435,42.67852556,0.9513075708,0.003084503133,0.004606319111,10.5581,15.7672
len,511.445,1539.78,,,1408.502029,3087.206761,7261.160523,8302.341909,504.8603476,3133.621469,611.496,9150.064,165.49,0.3631127181,1.093203963,0.1656659367,0.4987615405,0.07043571043,0.1854633328,1.013042522,0.491373963,0.8363832306,0.1682807902,0.00001148105626,0.00003625596713,0.0019,0.006
len_sq,512.065,1541.29,,,1394.746161,3107.530212,7249.521638,8341.940211,707.9110841,3343.677036,611.496,9150.064,165.49,0.3671384905,1.105068466,0.164781986,0.4959855238,0.07063431569,0.1847639711,0.7233464929,0.4609566006,0.8373971375,0.1684458163,0.00001329385461,0.00002840050758,0.0022,0.0047
matmul_sca,6992.14,7862.31,,,515.6504661,2832.667493,5853.012339,7046.149954,398.3486759,5051.055463,22.55,6948.11,3660.37,13.55984424,15.24736332,2.468394196,2.77558521,1.19462246,1.115830638,17.55281346,1.556567743,310.0727273,1.131575349,2.463742736,3.355480457,9018.21,12282.3
muleq,6983.7,9743.67,,,828.1284079,2469.128031,5670.965356,7357.693417,265.2100021,6966.273606,75.861,9423.87,,8.433112466,11.76589271,2.828407402,3.94619877,1.231483453,1.324283229,26.33271726,1.398691833,92.05916083,1.033935103,,,,
muleq_sca,6474.17,7590.3,,,540.3616011,2694.721378,3932.72027,5160.599392,358.6004102,4878.320887,37.94,8500.81,3370.44,11.98118073,14.04670499,2.402537811,2.816729055,1.646232011,1.47081752,18.05399497,1.555924708,170.64233,0.8928913833,0.00419247932,0.00593836413,14.1305,20.0149
negate,6801.67,7943.49,,,539.1754821,2902.991776,3537.593842,4703.461037,325.3036156,5043.756901,37.94,8500.81,,12.61494676,14.73266175,2.342986313,2.736311575,1.922682565,1.688860594,20.90868245,1.574915317,179.2743806,0.9344391887,,,,
pluseq,6652.97,9356.35,,,824.6584835,2615.06829,5689.080319,7423.605992,279.9731269,7358.902826,76.064,9468.086,1724.37,8.067545697,11.34572697,2.54409035,3.577860676,1.169428032,1.260351103,23.7628878,1.271432742,87.46542385,0.9881986708,0.0112243892,0.01162378144,19.355,20.0437
subeq,6802.03,9616.79,,,822.2953871,2613.407483,5529.030896,7354.815427,257.122564,6946.595899,75.864,9579.919,190.06,8.272003111,11.69505527,2.602743753,3.679789724,1.230239101,1.307550148,26.45442661,1.384388863,89.66084045,1.00384878,0.0003793538882,0.000430390403,0.0721,0.0818
subeq_sca,6637.64,7761.12,,,575.1765139,2780.313556,4230.050758,5462.26238,322.3776254,4780.415593,37.94,8748.49,,11.54017913,13.49345777,2.387371017,2.791454937,1.569163204,1.420861808,20.58964232,1.623524116,174.9509752,0.8871382376,,,,
Average mathfu per backend,,,,,,,,,,,,,,8.589591278,10.6968208,2.026932816,2.606667171,1.135550581,1.115402957,17.28063172,1.291448932,114.8478144,0.816006089,0.3546640338,0.4825919955,,
GMean mathfu per backend,,,,,,,,,,,,,,5.343575585,7.942644414,1.446361127,2.149858637,0.7613092156,0.9008586627,11.11649918,1.186163412,45.22762013,0.6862535464,0.00154174687,0.002410453392,,
simpl_array,,,,,,,,,,,,,,,,,,,,,,,,,,,
array_inc,5909.43,6804.65,,,544.0873818,2720.600215,3570.863627,4756.281182,265.4065061,4676.718404,37.7,8739.89,,10.86117818,12.50653889,2.172105247,2.501157636,1.65490218,1.430666048,22.26558077,1.455005286,156.7488064,0.7785738722,,,,
